id,label,url,brand,name,skin_type,price ,img,spf,concern,concern2,concern3,key_ingredient,fomula
skincare_536,mask-and-peel,https://www.myntra.com/mask-and-peel/mamaearth/mamaearth-ubtan-skin-lightening--brightening-sustainable-face-mask-100-ml/11081548/buy,Mamaearth,Ubtan Skin Lightening & Brightening Sustainable Face Mask 100 ml,All," Rs. 2,245.00 ","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/11081548/2021/8/11/64591926-fd52-4a26-9968-92eba7bc2c221628658979680MamaearthUbtanSkinLighteningBrighteningSustainableFaceMask101.jpg",,Oily Skin,,,Turmeric,
skincare_537,mask-and-peel,https://www.myntra.com/mask-and-peel/garnier/garnier-hydra-bomb-eye-orange-extracts-serum-mask-6-g/11793422/buy,Garnier,Hydra Bomb Eye Orange Extracts Serum Mask 6 g,All, Rs. 370.00 ,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/11793422/2020/10/9/17590a9a-3390-40d1-b2f2-40fc8539688a1602257651683-Garnier-Women-Mask-and-Peel-7161602257651492-1.jpg",,Dull Skin,Softening and Smoothening,Daily Use,,
skincare_538,mask-and-peel,https://www.myntra.com/mask-and-peel/phy/phy-green-tea-acne-action--oil-control-face-mask-60-gm/15102712/buy,Phy,Green Tea Acne-Action & Oil Control Face Mask 60 gm,Oily," Rs. 2,000.00 ","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15102712/2021/9/2/0bafe89f-6257-4558-ba85-02ddfb5aed411630554958430-Phy-Green-Tea-Acne-Action--Oil-Control-Face-Mask-60-gm-48216-1.jpg",,Acne and Blemishes,Pore Care,Oil Control,Green Tea,
skincare_539,mask-and-peel,https://www.myntra.com/mask-and-peel/sotrue/sotrue-unisex-green-tea-face-cleansing-mask/15343196/buy,SOTRUE,Sotrue Unisex Green Tea Face Cleansing Mask,All," Rs. 1,945.00 ","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15343196/2021/9/2/dd32fefb-b121-4f89-8dd1-9ad9fb3b3eab1630578490732MaskandPeel1.jpg",,Hydration,Softening and Smoothening,Oil Control,Green Tea,
skincare_540,mask-and-peel,https://www.myntra.com/mask-and-peel/biotique/biotique-bio-fruit-whitening--depigmentation-sustainable-face-pack-75-g/1661414/buy,Biotique,Bio Fruit Whitening & Depigmentation Sustainable Face Pack 75 g,All, Rs. 585.00 ,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/1661414/2021/2/10/81d2f931-403f-4c04-98e5-fafc824b16f31612953554428BiotiqueBioFruitWhiteningDepigmentationSustainableFacePack751.jpg",,Pigmentation,Uneven Skin Tone,Pore Care,Honey,
skincare_541,mask-and-peel,https://www.myntra.com/mask-and-peel/mcaffeine/mcaffeine-naked--raw-tan-removal-coffee-sustainable-face-mask---100g/10901914/buy,MCaffeine,Naked & Raw Tan Removal Coffee Sustainable Face Mask - 100g,Oily," Rs. 2,585.00 ","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/10901914/2021/8/11/78dbcc17-b4b7-41a2-a669-801536ebac321628672098772-MCaffeine-Naked--Raw-Tan-Removal-Coffee-Sustainable-Face-Mas-3.jpg",,Pore Care,Tan Removal,Acne and Blemishes,Caffeine,
skincare_542,mask-and-peel,https://www.myntra.com/mask-and-peel/garnier/garnier-skin-naturals-light-complete-brightening-milky-serum-sheet-mask/11793446/buy,Garnier,Skin Naturals Light Complete Brightening Milky Serum Sheet Mask,All, Rs. 355.00 ,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/11793446/2020/7/20/687f5135-8111-4b58-b1a4-58763b1ca13e1595208462526MaskandPeelGarnierWomenHairColourGarnierWomenHairColourLOrea1.jpg",,Dull Skin,Hydration,Daily Use,Vitamin C,
skincare_543,mask-and-peel,https://www.myntra.com/mask-and-peel/innisfree/innisfree-jeju-volcanic-blackhead-3-step-sheet/11130996/buy,Innisfree,Jeju Volcanic Blackhead 3 Step Sheet,All, Rs. 900.00 ,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/11130996/2020/3/17/591bc1da-6eed-4a92-a96b-b8be4a5f271f1584429916197-Innisfree-Unisex-Mask-and-Peel-8771584429915809-1.jpg",,Hydration,Deep Nourishment,Daily Use,,
skincare_544,mask-and-peel,https://www.myntra.com/mask-and-peel/the-face-shop/the-face-shop-real-nature-brightening-rice-face-mask/6687977/buy,The Face Shop,Real Nature Brightening Rice Face Mask,All, Rs. 500.00 ,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/6687977/2019/9/5/f90d6004-0353-4569-bd7a-69ee514567d61567687239298-The-Face-Shop-Real-Nature-Brightening-Rice-Face-Mask-20-g-75-1.jpg",,Dull Skin,Dark Spots,Daily Use,,
skincare_545,mask-and-peel,https://www.myntra.com/mask-and-peel/skinkraft/skinkraft-transparent-customized-face-mask/15348458/buy,SKINKRAFT,Transparent Customized Face Mask,All," Rs. 2,485.00 ","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15348458/2021/9/3/9ad38937-73e9-4521-88a7-99d1f710695b1630652458339na1.jpg",,Finelines and Wrinkles,,,,
