id,label,url,,shade,concern,finish,coverage,formulation,rating,brand,name, price ,skin type,skin tone,img,
makeup_31,primer,https://www.myntra.com/foundation-and-primer/mac/mac-prepprime-fix---rose-100ml/9590027/buy,https://www.myntra.com/foundation-and-primer/mac/mac-prepprime-fix---rose-100ml/9590027/buy,prep+prime fix,Acne or Blemishes,matte,medium ,liquid,4.8,m.a.c,prep+prime fix+ - rose 100ml," Rs. 9,500.00 ",all,light to medium,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/9590027/2020/4/15/b757500b-2aca-4aaf-bd45-7d755d2fb5d61586933586869MACPrepPrimeFixRose1.jpg",
makeup_32,primer,https://www.myntra.com/foundation-and-primer/milani/milani-skin-quench-hydrating-face-primer/14686008/buy,https://www.myntra.com/foundation-and-primer/milani/milani-skin-quench-hydrating-face-primer/14686008/buy,Skin quench hydrating,Acne or Blemishes,natural,full,cream,4.6,milani,skin quench hydrating face primer," Rs. 5,600.00 ",normal,fair to light,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/14686008/2021/9/30/90787348-ca8f-4cae-a247-5f853506d51f1633026343860-MILANI-Women-Foundation-and-Primer-1741633026343113-1.jpg",
makeup_33,primer,https://www.myntra.com/foundation-and-primer/smashbox/smashbox-women-photo-finish-primer-30-ml/12278932/buy,https://www.myntra.com/foundation-and-primer/smashbox/smashbox-women-photo-finish-primer-30-ml/12278932/buy,Transparent,moisturize,matte,full,liquid,4.1,smashbox,women photo finish primer 30 ml," Rs. 16,750.00 ",dry,fair to light,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/12278932/2020/9/16/8c0037c8-004a-4952-bca0-3a8ec72db5ef1600234696854-smashbox-Women-Photo-Finish-Primer-30-ml-9691600234696616-1.jpg",
makeup_34,primer,https://www.myntra.com/foundation-and-primer/pac/pac-pore-primer-25-g/9788959/buy,https://www.myntra.com/foundation-and-primer/pac/pac-pore-primer-25-g/9788959/buy,Clear,smoothing,matte,medium ,liquid,4.6,pac,pore primer 25 g," Rs. 4,225.00 ",normal,fair to light,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/9788959/2019/10/9/28dc4df4-5b6c-43b4-a535-57173530923b1570618223586-PAC-Unisex-Foundation-and-Primer-4411570618223181-1.jpg",
makeup_35,primer,https://www.myntra.com/foundation-and-primer/mac/mac-prep--prime-natural-radiance---radiant-pink-50ml/9590279/buy,https://www.myntra.com/foundation-and-primer/mac/mac-prep--prime-natural-radiance---radiant-pink-50ml/9590279/buy,Prep + Prime Natural Radiance,Dryness,luminous,low,liquid,4.7,m.a.c,prep + prime natural radiance - radiant pink 50ml," Rs. 18,000.00 ",all,fair to light,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/9590279/2019/5/21/a1d86aab-de38-4948-a2cf-a6ea04791c001558417087399-MAC-Women-Foundation-and-Primer-91558417087305-1.jpg",
makeup_36,primer,https://www.myntra.com/foundation-and-primer/lotus-herbals/lotus-herbals-sustainable-proedit-silk-touch-luminizing-primer-20-g/8939443/buy,https://www.myntra.com/foundation-and-primer/lotus-herbals/lotus-herbals-sustainable-proedit-silk-touch-luminizing-primer-20-g/8939443/buy,Proedit,silk touch,matte,low,cream,4.4,lotus herbals,sustainable proedit silk touch luminizing primer 20 g," Rs. 2,355.00 ",normal,light to medium,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/8939443/2020/10/9/c696abfe-d7ea-4e63-b694-739d386e4d061602267265921LotusHerbalsSustainableProeditSilkTouchLuminizingPrimer20g1.jpg",
makeup_37,primer,https://www.myntra.com/foundation-and-primer/sugar/sugar-the-most-eligiblur-smoothing-primer-25-ml/11878126/buy,https://www.myntra.com/foundation-and-primer/sugar/sugar-the-most-eligiblur-smoothing-primer-25-ml/11878126/buy,Beige,Dryness,matte,full,cream,4.4,sugar,the most eligiblur smoothing primer 25 ml," Rs. 3,995.00 ",dry,medium to dark,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/11878126/2021/8/13/53a4caf2-d1f0-45ba-9ab8-ae4e774d989d1628846384191SUGARTheMostEligiblurSmoothingPrimer25ml11.jpg",
makeup_38,primer,https://www.myntra.com/foundation-and-primer/faces-canada/faces-canada-vitamin-rich-primer-15-gm/14545282/buy,https://www.myntra.com/foundation-and-primer/faces-canada/faces-canada-vitamin-rich-primer-15-gm/14545282/buy,Transparent,Dryness,matte,medium ,cream,4.5,faces canada,vitamin rich primer 15 gm," Rs. 2,795.00 ",dry,light to medium,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/productimage/2021/6/16/a32c019f-e3bd-4b98-a672-bd8fb53d28ef1623843009878-1.jpg",
makeup_39,primer,https://www.myntra.com/foundation-and-primer/sugar/sugar-cosmetics-face-fwd-primer-stick-6g/11882784/buy,https://www.myntra.com/foundation-and-primer/sugar/sugar-cosmetics-face-fwd-primer-stick-6g/11882784/buy,Transparent,Pore Minimizing and Blurring,matte,full,cream,4.4,sugar,cosmetics face fwd primer stick 6g," Rs. 3,995.00 ",normal,light to medium,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/11882784/2021/8/13/2232ad4f-109a-47f0-8cf0-ae309fe18d411628846429212SUGARCosmeticsFaceFwdPrimerStick6g1.jpg",
makeup_40,primer,https://www.myntra.com/foundation-and-primer/makeup-revolution-london/makeup-revolution-london-set-of-base-primer---fixing-spray/13538360/buy,https://www.myntra.com/foundation-and-primer/makeup-revolution-london/makeup-revolution-london-set-of-base-primer---fixing-spray/13538360/buy,Neutral,Pore Minimizing and Blurring,matte,full,liquid,4.3,makeup revolution london,set of base primer & fixing spray," Rs. 5,555.00 ",oily,fair to light,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/13538360/2021/1/29/d0c195a9-c2e3-4d6c-bd21-e035c925aa451611924691975MakeupRevolutionLondonSetOfBasePrimerFixingSpray1.jpg",
makeup_41,primer,https://www.myntra.com/foundation-and-primer/xx-revolution/xx-revolution-face-fixx-moisturising-fixing-mist-100-ml/15092574/buy,https://www.myntra.com/foundation-and-primer/xx-revolution/xx-revolution-face-fixx-moisturising-fixing-mist-100-ml/15092574/buy,,Dryness,natural,medium ,spray,3.8,xx revolution,face fixx moisturising fixing mist-100 ml," Rs. 4,375.00 ",normal,light to medium,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15092574/2021/8/18/888798ab-5670-44d3-a246-ab30c4be024e1629282086360-XX-Revolution-Women-Foundation-and-Primer-4511629282086201-1.jpg",
makeup_42,primer,https://www.myntra.com/foundation-and-primer/myglamm/myglamm-tinted-perfection-brightening-banana-primer/14603842/buy,https://www.myntra.com/foundation-and-primer/myglamm/myglamm-tinted-perfection-brightening-banana-primer/14603842/buy,Banana yellow,Uneven Texture,matte,full,mousse,4.2,myglamm,tinted perfection brightening banana primer," Rs. 4,380.00 ",oily,dark to deep,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/productimage/2021/6/23/5f07a3ee-3a2b-4ee0-aa99-36aec40a12341624425424275-1.jpg",
